media,sentiment,records,denominator,share
ALL,Negative,4395,27482,0.15992285859835528
ALL,Neutral,14531,27482,0.5287460883487374
ALL,Positive,8556,27482,0.31133105305290737
AL,Negative,429,2535,0.16923076923076924
AL,Neutral,1371,2535,0.5408284023668639
AL,Positive,735,2535,0.28994082840236685
BBC,Negative,1073,6628,0.16188895594447797
BBC,Neutral,3659,6628,0.5520519010259505
BBC,Positive,1896,6628,0.2860591430295715
CGTN,Negative,145,681,0.21292217327459617
CGTN,Neutral,337,681,0.4948604992657856
CGTN,Positive,199,681,0.2922173274596182
CNN,Negative,1643,10780,0.15241187384044527
CNN,Neutral,5551,10780,0.5149350649350649
CNN,Positive,3586,10780,0.3326530612244898
DW,Negative,369,2444,0.1509819967266776
DW,Neutral,1386,2444,0.5671031096563012
DW,Positive,689,2444,0.28191489361702127
NBC,Negative,454,2730,0.1663003663003663
NBC,Neutral,1468,2730,0.5377289377289377
NBC,Positive,808,2730,0.295970695970696
NYT,Negative,282,1684,0.167458432304038
NYT,Neutral,759,1684,0.4507125890736342
NYT,Positive,643,1684,0.3818289786223278
