media,theme,matched_records,denominator,share,matched_videos
ALL,conflict_and_regional_politics,798,27482,0.029037187977585328,94
ALL,human_rights_and_social_issues,566,27482,0.020595298740994104,82
ALL,historical_and_cultural_references,150,27482,0.005458118040899498,54
ALL,blessings_and_support,611,27482,0.022232734153263954,85
AL,conflict_and_regional_politics,80,2535,0.03155818540433925,16
AL,human_rights_and_social_issues,46,2535,0.01814595660749507,11
AL,historical_and_cultural_references,14,2535,0.005522682445759369,8
AL,blessings_and_support,76,2535,0.029980276134122286,14
BBC,conflict_and_regional_politics,271,6628,0.04088714544357272,19
BBC,human_rights_and_social_issues,196,6628,0.029571514785757393,18
BBC,historical_and_cultural_references,54,6628,0.008147254073627036,10
BBC,blessings_and_support,131,6628,0.01976463488231744,18
CGTN,conflict_and_regional_politics,22,681,0.032305433186490456,2
CGTN,human_rights_and_social_issues,12,681,0.01762114537444934,1
CGTN,historical_and_cultural_references,2,681,0.002936857562408223,1
CGTN,blessings_and_support,17,681,0.024963289280469897,2
CNN,conflict_and_regional_politics,270,10780,0.02504638218923933,19
CNN,human_rights_and_social_issues,186,10780,0.01725417439703154,20
CNN,historical_and_cultural_references,50,10780,0.00463821892393321,19
CNN,blessings_and_support,208,10780,0.019294990723562153,19
DW,conflict_and_regional_politics,63,2444,0.025777414075286414,16
DW,human_rights_and_social_issues,33,2444,0.013502454991816694,15
DW,historical_and_cultural_references,8,2444,0.0032733224222585926,7
DW,blessings_and_support,24,2444,0.009819967266775777,15
NBC,conflict_and_regional_politics,55,2730,0.020146520146520148,16
NBC,human_rights_and_social_issues,64,2730,0.023443223443223443,13
NBC,historical_and_cultural_references,12,2730,0.004395604395604396,7
NBC,blessings_and_support,82,2730,0.030036630036630037,12
NYT,conflict_and_regional_politics,37,1684,0.021971496437054632,6
NYT,human_rights_and_social_issues,29,1684,0.0172209026128266,4
NYT,historical_and_cultural_references,10,1684,0.0059382422802850355,2
NYT,blessings_and_support,73,1684,0.04334916864608076,5
