media,sentiment,records,eligible_videos,record_weighted_share,video_equal_weight_share,difference_pp,retaining_capture_repeats_share,repeat_difference_pp
ALL,Negative,27482,123,0.15992285859835528,0.1669810043016774,0.7058145703322111,0.1594422224624365,-0.048063613591878274
ALL,Neutral,27482,123,0.5287460883487374,0.5280749013719491,-0.06711869767882517,0.5288437286059164,0.009764025717906577
ALL,Positive,27482,123,0.31133105305290737,0.3049440943263735,-0.6386958726533887,0.311714048931647,0.03829958787396337
AL,Negative,2535,20,0.16923076923076924,0.1580736443907863,-1.1157124839982935,0.17018779342723006,0.09570241964608206
AL,Neutral,2535,20,0.5408284023668639,0.5300191942394152,-1.0809208127448677,0.5383411580594679,-0.2487244307395997
AL,Positive,2535,20,0.28994082840236685,0.3119071613697984,2.1966332967431557,0.291471048513302,0.15302201109351765
BBC,Negative,6628,19,0.16188895594447797,0.15020773002513696,-1.168122591934101,0.16036196410028186,-0.15269918441961072
BBC,Neutral,6628,19,0.5520519010259505,0.5552263487078634,0.3174447681912884,0.5512535232161401,-0.07983778098104022
BBC,Positive,6628,19,0.2860591430295715,0.2945659212669996,0.850677823742807,0.2883845126835781,0.23253696540065927
CGTN,Negative,681,17,0.21292217327459617,0.24528215007073773,3.2359976796141554,0.2116788321167883,-0.1243341157807859
CGTN,Neutral,681,17,0.4948604992657856,0.4856112510047129,-0.9249248261072707,0.49635036496350365,0.1489865697718029
CGTN,Positive,681,17,0.2922173274596182,0.26910659892454936,-2.311072853506885,0.291970802919708,-0.024652453991019785
CNN,Negative,10780,20,0.15241187384044527,0.1523070826475722,-0.01047911928730716,0.1524081407127728,-0.00037331276724617
CNN,Neutral,10780,20,0.5149350649350649,0.5301718432492459,1.523677831418102,0.5154249930932867,0.048992815822179736
CNN,Positive,10780,20,0.3326530612244898,0.3175210741031819,-1.5131987121307866,0.33216686619394054,-0.04861950305492524
DW,Negative,2444,20,0.1509819967266776,0.15536277780453694,0.4380781077859358,0.15079689415610953,-0.018510257056805757
DW,Neutral,2444,20,0.5671031096563012,0.5631756072502764,-0.39275024060247965,0.5668165100122599,-0.028659964404131877
DW,Positive,2444,20,0.28191489361702127,0.2814616149451866,-0.04532786718346449,0.28238659583163056,0.04717022146092931
NBC,Negative,2730,20,0.1663003663003663,0.15128241466541364,-1.5017951634952649,0.16528329123060267,-0.10170750697636177
NBC,Neutral,2730,20,0.5377289377289377,0.5146793223394117,-2.304961538952599,0.5387946589678816,0.10657212389438842
NBC,Positive,2730,20,0.295970695970696,0.3340382629951747,3.8067567024478723,0.2959220498015157,-0.004864616918026643
NYT,Negative,1684,7,0.167458432304038,0.16777167389428516,0.03132415902471486,0.16646989374262103,-0.09885385614169795
NYT,Neutral,1684,7,0.4507125890736342,0.483943090664747,3.323050159111279,0.45336481700118064,0.26522279275464355
NYT,Positive,1684,7,0.3818289786223278,0.3482852354409678,-3.3543743181359997,0.38016528925619836,-0.16636893661294283
